date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:32:02	244/244	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f4-5c26a8cfe8c89%22	https://preview.colorlib.com/theme/universityedu/assets/img/icon/Icon-send.svg	D:/CT5/preview.colorlib.com/theme/universityedu/assets/img/icon/Icon-send.svg	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:03	8636/8636	---M-Z	200	added ('OK')	text/javascript	etag:%2221bc-5c26a89337d4f-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/vendor/modernizr-3.5.0.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/vendor/modernizr-3.5.0.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:03	97163/97163	---M-Z	200	added ('OK')	text/javascript	etag:%2217b8b-5c26a89364c0d-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/vendor/jquery-1.12.4.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/vendor/jquery-1.12.4.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:04	19188/19188	---M-Z	200	added ('OK')	text/javascript	etag:%224af4-5c26a57f606c7-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/popper.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/popper.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:04	62411/62411	---M-Z	200	added ('OK')	text/javascript	etag:%22f3cb-5c26a57d6885c-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/bootstrap.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:04	42766/42766	---M-Z	200	added ('OK')	text/javascript	etag:%22a70e-5c26a57d36b7e-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/owl.carousel.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:04	42863/42863	---M-Z	200	added ('OK')	text/javascript	etag:%22a76f-5c26a57fa2d44-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/slick.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/slick.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:05	8415/8415	---M-Z	200	added ('OK')	text/javascript	etag:%2220df-5c26a579bc1a3-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/jquery.slicknav.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/jquery.slicknav.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:05	5369/5369	---M-Z	200	added ('OK')	text/javascript	etag:%2214f9-5c26a57b89090-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/countdown.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/countdown.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:05	8415/8415	---M-Z	200	added ('OK')	text/javascript	etag:%2220df-5c26a57b66db1-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/wow.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/wow.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:06	20216/20216	---M-Z	200	added ('OK')	text/javascript	etag:%224ef8-5c26a57aa6799-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/jquery.magnific-popup.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/jquery.magnific-popup.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:06	2942/2942	---M-Z	200	added ('OK')	text/javascript	etag:%22b7e-5c26a579a98c4-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/jquery.nice-select.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/jquery.nice-select.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
04:32:07	1067/1067	---M-Z	200	added ('OK')	text/javascript	etag:%2242b-5c26a5809cd3a-gzip%22	https://preview.colorlib.com/theme/universityedu/assets/js/jquery.counterup.min.js	D:/CT5/preview.colorlib.com/theme/universityedu/assets/js/jquery.counterup.min.js	(from https://preview.colorlib.com/theme/universityedu/index.html)
